Incidenct Code;Customer Company Group;Customer Company;Creation Date-Time;Resolution Date-Time;Incident Status;Incident Description;Support Group;Tower Group;Domain Group;Priority;Resolution Description;Assigned Organization;Inc. Category;Last Modified Date;Inc. Type;Inc. Element;Aging (Days);Localización Cliente;Departamento Cliente
INC000001000256;IBERIA;IBERIA;28/02/2018 21:41;;Pending;no puede entrar en Outlook;IAG SITA Support;EUC;EUC;Alta;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;BCN AEROPUERTO;MNG. CTROL OPERATIVO Y CO (AHABC0)
INC000001000255;IBERIA;IBERIA;28/02/2018 20:44;;In Progress;Solicita reset de usuario de RESIBER/AMADEUS;AIRPORT2;Application Tower;Aeropuertos;Baja;;Mantenimiento Aeropuertos;INCIDENT;28/02/2018;ACCESS FAILURE;PASSWORD RESET;1;SIN IDENTIFICAR (SAN JOSE DE COSTA RICA);P.LOC.GER.CENTRAMER.C.RIC (AMNLR0ZL)
INC000001000248;IBERIA;IBERIA;01/03/2018 02:05;;Assigned;Escalado Job: LINUX_ibm - El job: R00O21PA con OrderID: 310ql del DataCenter: CTM_SERVER en la maqu;TKTBSP;Application Tower;Cobol Domain;Baja;;Mantenimiento COBOL;INCIDENT;01/03/2018;PROCESS FAILURE;BATCH;0;MANDOS;U.OPERACIONES ORDENADORES (ASXA00)
INC000001000242;IBERIA;IBERIA;01/03/2018 00:55;;Assigned;Error DLM: Filesystem -var con alta ocupacion. Avisar a OnCall SOPORTE HOST UNISYS de 10h a 22h.;SOPORTE HOST UNISYS;Server Tower;Server Tower;Media;;Unidad de Operaciones Ordenadores;INCIDENT;01/03/2018;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000001000240;IBERIA;IBERIA;01/03/2018 00:30;;In Progress;"LINUX_sun - Availability Cash and Avios service is not available: I/O error on POST request for ""htt";AM_MTO_IBCOM;Application Tower;Ib.com;Media;;MANTENIMIENTO IB.COM;INCIDENT;01/03/2018;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000001000228;IBERIA;IBERIA;28/02/2018 22:35;;Assigned;En la pantalla principal se queda en Hola iberia pero no puede pasar de allí.;MOVILIDAD;Application Tower;Movilidad;Baja;;Mantenimiento Movilidad;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001000223;IBERIA;IBERIA;28/02/2018 21:58;;Assigned;[COM006] Problemas al hacer el cki online;AM_MTO_IBCOM;Application Tower;Ib.com;Baja;;MANTENIMIENTO IB.COM;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (VUELO);FLOTA A340 (AVVIL0A0)
INC000001000222;IBERIA;IBERIA;28/02/2018 21:57;;Assigned;Konica Minolta: Nº SERIE AOG6021000227 / SE ATASCA CONTINAMENTE *UNA PIEZA ROTA*;Soporte KONIKA/MINOLTA;KONICA;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;PRINTING FAILURE;;1;SIN IDENTIFICAR (MADRID BARAJAS);T.C.MAD- DOCUM. (AGDM00MA)
INC000001000212;IAG CARGO;IBERIA;28/02/2018 21:28;;Assigned;[AVCD] Issue to print in AVCD;CARGO-AVCD;Application Tower;CARGO;Media;;Mantenimiento Cargo;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000209;IBERIA;IBERIA;28/02/2018 20:56;;Assigned;HEMOS CONSEGUIDO DAR EL SEAT AL PASAJERO YA QUE LE CORRESPONDE;CKI;Application Tower;PSS;Media;;Mantenimiento Pasaje;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;;
INC000001000198;IBERIA;IBERIA;28/02/2018 21:50;;Assigned;no puedo abrir Google Chrome en mi portátil;IAG EUC Remote Support;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;NEO-MARTINEZ VILLERGAS 49;MNG. CORD Y SOPORTE A LA (1AH300)
INC000001000191;IBERIA;IBERIA;28/02/2018 19:56;;Assigned;Reseteo contraseña ORACLE;USCVEAM;Application Tower;Financiero;Baja;;Mantenimiento Financiero;INCIDENT;28/02/2018;ACCESS FAILURE;PASSWORD RESET;1;SIN IDENTIFICAR;
INC000001000188;IBERIA;IBERIA;28/02/2018 19:04;;Assigned;LINUX_sun - ALERTA_NOCRI Iberia.com - Se registran errores en la respuesta de Cybersource a Netplus;AM_MTO_IBCOM;Application Tower;Ib.com;Baja;Hi team , We checked the logs and found that there are erros from your side// The hit from cybersource to netplus is having some problems.Please pass it to the concerned team pmt-ppm/rs/ppm : NDC - NetPlus Tokenized Service Checker : ERROR pmt-ppm/rs/ppm : CyberSource WebResource Checker : OK Plesae call the oncall team of netplus to check into it. Meanwhile we are passing this inc to you.;MANTENIMIENTO IB.COM;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000001000186;IBERIA;IBERIA;28/02/2018 19:21;;Assigned;[SEG016] Usuario cambio de contraseña continuo / expirada;OAM/OIM/OVD/OIF/OSB Support;Application Tower;HerramientasIT;Baja;;Mantenimiento Herramientas IT & DBAs;INCIDENT;28/02/2018;ACCESS FAILURE;PASSWORD;1;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001000183;IBERIA;IBERIA;28/02/2018 18:48;;Assigned;[IMM003] - Orden SAP no generada. - WO4956512 - WO3694371;USV_DGMI;Application Tower;Mantenimiento Dir. Técnica – MRO;Media;;Mantenimiento Dir. Técnica;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);MAINTROL (AMNLR00C)
INC000001000178;IBERIA;IBERIA;28/02/2018 18:55;;In Progress;LINUX_sun - ERROR en APLICACI?N=IBConecta, CI=HUB003. Avisar Oncall CRM;NIIT_MTO_IBCONECTA;Application Tower;Comercial y CRM;Media;;Mantenimiento Comercial y CRM;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000001000174;IBERIA;IBERIA;28/02/2018 18:55;;Pending;equipo va muy lento desde que instalaron el nuevo Office;IAG EUC Remote Support;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;PERFORMANCE ISSUE;;1;NEO-MARTINEZ VILLERGAS 49;SM COMUNICACIÓN INTER Y R (1CI000)
INC000001000172;IBERIA;IBERIA;28/02/2018 18:39;;Assigned;[COM042]Incidencia NDC método de pago.;IBIS_NDC_GAR;Delivery;Delivery;Media;;MANTENIMIENTO IB.COM;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000165;IBERIA;IBERIA;28/02/2018 18:46;;Pending;Fallo Software:Problema funcionamiento del correo electronico;IAG EUC Remote Support;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;TERMINAL T4;GEST.EQUIPAJES_SERV.AUX (AHMDT01X)
INC000001000159;IBERIA;IBERIA;28/02/2018 18:08;;Assigned;"Iberia Now:No puede descarga Iberia now. Error: ""archivo desconocido""";MOVILIDAD;Application Tower;Movilidad;Baja;;Mantenimiento Movilidad;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001000157;IBERIA;IBERIA;28/02/2018 18:20;;Assigned;TIER DE CLIENTE NO ACTUALIZADO EN SALESFORCE;NIIT_MTO_PROFWEBS;Application Tower;Comercial y CRM;Baja;;Mantenimiento Comercial y CRM;INCIDENT;28/02/2018;DATA ISSUE;;1;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);MANAGER CLIENTES ALTO VAL (ALCO00)
INC000001000154;IBERIA;IBERIA;28/02/2018 18:27;;Pending;LINUX_sun - ALERTA-CRI ERROR CRITICO EN IBERIA PLUS. Avisar al ON-CALL de IberiaPlus;NIIT_MTO_IBPLUS;Application Tower;Comercial y CRM;Media;;Mantenimiento Comercial y CRM;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000001000151;IBERIA;IBERIA;28/02/2018 18:00;;Pending;Fallo Hardware en PC: No enciende.;IAG EUC Remote Support;EUC;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;HARDWARE FAILURE;;1;PMI AEROPUERTO;COORDINACION Y CONTROL PM (AHAKS0C0)
INC000001000146;IBERIA;IBERIA;28/02/2018 19:35;;Assigned;LINUX_ibm - Fallo en la carga de un fichero de ATPCO en Airprice. Avisar On-Call Gesing;GESING;Application Tower;REVENUE MANAGEMENT;Baja;;Mantenimiento Pasaje;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000001000134;IBERIA;IBERIA;28/02/2018 19:06;;Pending;Fallo Software:;IAG EUC Remote Support;EUC;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;PMI AEROPUERTO;COORDINACION Y CONTROL PM (AHAKS0C0)
INC000001000132;IBERIA EXPRESS;IBERIA EXPRESS;28/02/2018 18:59;;Assigned;Problema de acceso al abrir onedrive;IAG EUC Support;EUC;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;01/03/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000104;IBERIA;IBERIA;28/02/2018 18:33;;Assigned;Status of 22/02/2018 Weekly invoice LC file not received;USCIBMAM;Application Tower;Cobol Domain;Baja;;Mantenimiento COBOL;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000098;IBERIA;IBERIA;28/02/2018 18:40;;In Progress;incidencia teléfono 901 011 500;Contact Centre;Network Tower;Network Tower;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;TELEPHONY FAILURE;;1;SIN IDENTIFICAR;
INC000001000097;IBERIA;IBERIA;28/02/2018 18:21;;In Progress;++URGENT++: IB payment approvals LATAM 28/02/18;USCVEAM;Application Tower;Financiero;Baja;;Mantenimiento Financiero;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000067;IBERIA;IBERIA;28/02/2018 17:59;;Assigned;[PORTAL EMPLEADO] Falta infomacion en la seccion de area personal;JAVA Apps Support;Application Tower;RRHH;Baja;;Mantenimiento Corporativa y RRHH;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001000057;IBERIA;IBERIA;28/02/2018 17:50;;Assigned;cortafuegos de seguridad y configuración no permiten enviar solicitud de certificado a la agencia tr;IAG EUC Support;EUC;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;TALLER MOTORES;MNG LOGISTICA Y ADUANAS (AMRF03)
INC000001000032;IBERIA;IBERIA;28/02/2018 17:54;;Assigned;[GLE001]SAP CFS - OTC module: ORDENES DE VENTA;FINANCE-SUPPORT-ELS;Delivery;Delivery;Media;;Mantenimiento Financiero;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000031;IBERIA;IBERIA;28/02/2018 17:48;;Assigned;Hay uno o dos JOBS de CTRL-M, que envían ficheros desde el servidor SAVREAPP a un servidor de TELEFO;Soporte Explotación;Service Ops Tower;Service Ops Tower;Baja;;Unidad de Operaciones Ordenadores;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SISTEMAS(MANDOS-ANÁLISIS-PRODU;MNG. SOPORTE DE APLICACIO (ASXAG1)
INC000001000028;IBERIA;IBERIA;28/02/2018 17:31;;Pending;Solicita desbloqueo de usuario SAP.;SSCCLMZ;Service Ops Tower;Service Ops Tower;Baja;;Unidad Control del Servicio;INCIDENT;28/02/2018;ACCESS FAILURE;PASSWORD RESET;1;EDIFICIO T.M.A. - ALMACENES;MNG MANTENIMIENTO EN LINE (AMIR02)
INC000001000021;IBERIA;IBERIA;28/02/2018 17:14;;Pending;Fallo Software: Porblemas con funcionamiento de outlook en el ordenador.;IAG EUC Remote Support;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;TERMINAL T4;ASIST.AVION_CYD_S.AUX. (AHMDR03X)
INC000001000018;IBERIA;IBERIA;28/02/2018 17:31;;Assigned;Failed en reproceso;NIIT_MTO_GESING;Application Tower;REVENUE MANAGEMENT;Media;;Mantenimiento Pasaje;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;NEO-MARTINEZ VILLERGAS 49;MANAGER SIST GESTION INGR (ACRS00)
INC000001000016;IBERIA;IBERIA;28/02/2018 16:57;;Assigned;[INCIDENCIA ACORDADA] CU186 y CU176 / no posible chequear: IRPA NO RESPONSE;CKI;Application Tower;PSS;Alta;;Mantenimiento Pasaje;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000011;IBERIA;IBERIA;28/02/2018 16:48;;In Progress;Mail message from CONTROL-M: HA FALLADO EL I32O4OW, avisar en horario laboral a USCIBMAM (amibmcap@;USCIBMAM;Application Tower;Cobol Domain;Baja;;Mantenimiento COBOL;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;SIN IDENTIFICAR;
INC000001000010;IBERIA;IBERIA;28/02/2018 16:48;;Assigned;[PORTAL EMPLEADO] Problema acceso ventanilla única;Remedy /BMC Support;Application Tower;HerramientasIT;Baja;;Mantenimiento Herramientas IT & DBAs;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;NEO-MARTINEZ VILLERGAS 49;MNG. CAB INTER, PROY Y PR (APXA01)
INC000001000009;IBERIA;IBERIA;28/02/2018 16:46;;Assigned;SIEA Manual Rechazado: CRM MARKETING RELACIONAL Aplicación en BAJA;Security & IT Apps Support;Application Tower;HerramientasIT;Media;;Mantenimiento Herramientas IT & DBAs;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000005;IBERIA;IBERIA;28/02/2018 16:40;;Pending;Fallo en Iberia Now;MOVILIDAD;Application Tower;Movilidad;Baja;Maána sube un cambio en la aplicación con la solución del problema.;Mantenimiento Movilidad;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA LARGO RA (ABLY00)
INC000000999996;IBERIA;IBERIA;28/02/2018 16:26;;Pending;No puede acceder VPN. Problema de Complemento.;IAG EUC Remote Support;EUC;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SCQ AEROPUERTO;MNG AEROP. SANTIAGO COMPO (AHAYT0)
INC000000999993;IBERIA;IBERIA;28/02/2018 16:24;;In Progress;[TRYP]: En el tryp no puede ver su calendario. Ya ha probado con diferentes exploradores web.;AIRPORT2;Application Tower;Aeropuertos;Media;;Mantenimiento Aeropuertos;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);MANAGER CLIENTES ALTO VAL (ALCO00)
INC000000999983;IBERIA;IBERIA;28/02/2018 16:05;;Assigned;[GLE001]SAP CFS - PTP module:;FINANCE-SUPPORT-ELS;Delivery;Delivery;Media;;Mantenimiento Financiero;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;NEO-MARTINEZ VILLERGAS 49;SM COMUNICACIÓN EXTERNA (1CE000)
INC000000999980;IBERIA;IBERIA;28/02/2018 16:07;;Assigned;Fallo Software: NO RESIBE CORREOS DE IBERIA;MICROSOFT OFFICE365;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (VUELO);FLOTA A320 (AVVIC0A0)
INC000000999974;IBERIA;IBERIA;28/02/2018 15:16;;In Progress;[TRYP]: no puede ver nominas;AIRPORT2;Application Tower;Aeropuertos;Baja;;Mantenimiento Aeropuertos;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;TALLER MOTORES;PROGRAMACION Y ATT CLIENT (AMITC0G0)
INC000000999962;IAG CARGO;IAG CARGO;28/02/2018 14:33;;Pending;Fallo Software: configurar correo en app outlook.;IAG EUC Remote Support;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;NO IDENTIFICADO;
INC000000999958;IBERIA;IBERIA;28/02/2018 14:08;;Pending;SOLICITO AUMENTAR ESPACIO EN DISCO. PUESTO TMA JEFE LINEA.;IAG EUC Remote Support;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;DATA ISSUE;;1;BCN AEROPUERTO;TMA JEFE MECANICA (AMNLB0AA)
INC000000999957;IBERIA;IBERIA;28/02/2018 14:43;;Pending;Fallo Software: Al abrir la aplicacion de airbus world, sale error de JAVA. Sólo ocurre en ese orden;IAG EUC Remote Support;EUC;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;EDIF.101 - HANGAR 3;TMA PROD LINEA MAD (AMNLL0GC)
INC000000999954;IBERIA;IBERIA;28/02/2018 14:06;;In Progress;[TRYP]:Necesitamos urgentemente generar un fichero en la aplicación TRYP;AIRPORT2;Application Tower;Aeropuertos;Baja;;Mantenimiento Aeropuertos;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;NEO-MARTINEZ VILLERGAS 49;MNG. GEST. SERV. R.H. (3YRC00)
INC000000999953;IBERIA;IBERIA;28/02/2018 14:03;;Pending;Fallo Software: Problemas de conexion en internet en ordenador.;IAG EUC Remote Support;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;NEO-MARTINEZ VILLERGAS 49;SEN MNG ONEWORLD Y ACUER. (1HRA01)
INC000000999950;IBERIA;IBERIA;28/02/2018 17:48;;Assigned;Fallo Peoplesoft: Servidor no activo;PeopleSoft Administration;Application Tower;RRHH;Baja;;Mantenimiento Corporativa y RRHH;INCIDENT;28/02/2018;DATA ISSUE;;1;TERMINAL T4;PERSONAL_GEST. PERSONAL (AHMP00PA)
INC000000999947;IAG CARGO;BRITISH AIRWAYS;28/02/2018 16:51;;Assigned;LHRSBC - OPTIMA IB-availability with customer;CARGO-OPTIMA;Application Tower;CARGO;Media;;Mantenimiento Cargo;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000000999942;IBERIA;IBERIA;28/02/2018 16:30;;Assigned;[AMO001] PDF WP SUMMARY;Flight OPS IB;Application Tower;FLIGHT OPERATIONS;Baja;;Mantenimiento Operaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;NEO-MARTINEZ VILLERGAS 49;MNG. CONTROL PLANIFICACIÓ (APXP00)
INC000000999937;IBERIA;IBERIA;28/02/2018 16:19;;In Progress;[TRYP]: Falla tryp grupos de trabajo.;AIRPORT2;Application Tower;Aeropuertos;Baja;;Mantenimiento Aeropuertos;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;HANGAR 6;TMA AVIONICA PROD CAD5 HA (AMIRD0HB)
INC000000999933;IBERIA;IBERIA;28/02/2018 16:22;;Assigned;OBIIADL (Vuelos de I2 no se representan en informes OBI);Soporte Linux - Sistema Operativo;Server Tower;Server Tower;Media;;Unidad de Operaciones Ordenadores;INCIDENT;28/02/2018;DATA ISSUE;;1;DESCONOCIDO;COORD PROYECTOS Y APLICAC (AVF0AA)
INC000000999929;IBERIA;IBERIA;28/02/2018 16:04;;Assigned;(nemesys#E18-0001165)SPAM procedente de IP 195.53.213.13 Asignada a IBERIA LINEAS AEREAS DE ESPAÑA S;Gestión Seguridad Informática;Seguridad;Seguridad;Baja;;Unidad Seguridad Informática;INCIDENT;28/02/2018;SECURITY ISSUE.CYBERATTACKS;PHISING;1;SIN IDENTIFICAR;
INC000000999926;IBERIA;IBERIA;28/02/2018 15:48;;Assigned;No reconoce contraseña correo;MICROSOFT OFFICE365;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;TERMINAL T4;GEST.EQUIPAJES_SERV.AUX (AHMDT01X)
INC000000999912;IBERIA;IBERIA;28/02/2018 15:06;;Assigned;Escalado Job: Ha fallado el job D29OCTRL en zlc , avisar en horario laboral a USCIBMAM (amibmcap@ib;USCIBMAM;Application Tower;Cobol Domain;Baja;;Mantenimiento COBOL;INCIDENT;28/02/2018;PROCESS FAILURE;BATCH;1;MANDOS;U.OPERACIONES ORDENADORES (ASXA00)
INC000000999911;IBERIA;IBERIA;28/02/2018 15:33;;In Progress;No se puede ver la programación del vuelo en Iberia Now;MOVILIDAD;Application Tower;Movilidad;Baja;;Mantenimiento Movilidad;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (VUELO);FLOTA A320 (AVVIC0A0)
